date,topic,arxiv_id,title,category,role,used_in_article,main-area,sub-area,method-tag
2026-06-01,CSP-MACE,2605.28905,DFT Accuracy on Crystal Structure Prediction with Machine Learning Interatomic Potentials,physics.chem-ph,anchor,yes,materials-informatics,crystal-structure-prediction;molecular-crystal;polymorphism,MACE-MLIP;dispersion-correction;harmonic-free-energy
2026-06-01,CSP-MACE,2312.15211,MACE-OFF: Transferable Short Range Machine Learning Force Fields for Organic Molecules,physics.chem-ph,related,yes,materials-informatics,organic-molecules;molecular-crystal,MACE-MLIP;equivariant-neural-network
2026-06-01,CSP-MACE,2502.15530,Accurate and efficient machine learning interatomic potentials for finite temperature modeling of molecular crystals,physics.chem-ph,related,yes,materials-informatics,molecular-crystal;sublimation-enthalpy;nuclear-quantum-effects,MACE-MLIP;fine-tuning;path-integral-MD
2026-06-01,CSP-MACE,2604.13897,MolCryst-MLIPs: A Machine-Learned Interatomic Potentials Database for Molecular Crystals,cs.LG,related,yes,materials-informatics,molecular-crystal;polymorphism,MACE-MLIP;fine-tuning;molecular-dynamics
2026-06-01,CSP-MACE,2505.08762,The Open Molecules 2025 (OMol25) Dataset Evaluations and Models,physics.chem-ph,related,yes,materials-informatics,large-scale-dataset;molecular-simulation,DFT;omega-B97M-V;MACE-POLAR
2026-06-01,CSP-MACE,2605.22698,Machine Learning Interatomic Potentials: Advancing Open-Source Software for Efficient and Scalable Molecular Simulation,physics.chem-ph,related,yes,materials-informatics,MLIP-software;long-range-electrostatics,equivariant-neural-network;mixture-of-experts
2026-06-01,NMC-MACE,2605.19747,Direct Simulation of LiNi0.8Mn0.1Co0.1O2 Transport Properties Using an Efficient and Accurate Machine Learning Potential,cond-mat.mtrl-sci,anchor,yes,materials-informatics,battery-cathode;Li-ion-diffusion;disordered-materials,MACE-MLIP;active-learning;molecular-dynamics
2026-06-01,NMC-MACE,2510.05020,Comparing fine-tuning strategies of MACE machine learning force fields for Li diffusion in LiF,cond-mat.mtrl-sci,related,yes,materials-informatics,Li-ion-diffusion;battery-electrolyte,MACE-MLIP;fine-tuning
2026-06-01,NMC-MACE,2601.06916,Active Learning Strategies for Efficient Machine-Learned Interatomic Potentials Across Diverse Material Systems,cond-mat.mtrl-sci,related,yes,materials-informatics,active-learning;data-efficiency,neural-network-potential;uncertainty-quantification
2026-06-01,NMC-MACE,2603.26471,Importance of Electronic Entropy for Machine Learning Interatomic Potentials,cond-mat.mtrl-sci,related,yes,materials-informatics,battery-cathode;charge-ordering;electronic-entropy,MLIP;DFT+U
2026-06-01,NMC-MACE,2605.20384,Dataset-Aware Entropy-Maximized Active Learning for Machine-Learned Interatomic Potentials,cond-mat.mtrl-sci,related,yes,materials-informatics,active-learning;training-data-generation,molecular-dynamics;entropy-maximization
2026-06-01,NMC-MACE,2511.20863,Bridging Atomistic and Mesoscale Lithium Transport via Machine-Learned Force Fields and Markov State Models,cond-mat.mtrl-sci,related,yes,materials-informatics,Li-ion-diffusion;multiscale-simulation,MACE-MLIP;Markov-state-model
2026-06-01,kappa-surrogate,2605.11610,Fast and Accurate Prediction of Lattice Thermal Conductivity via Machine Learning Surrogates,cond-mat.mtrl-sci,anchor,yes,materials-informatics,lattice-thermal-conductivity;phonon;thermoelectrics,surrogate-model;graph-neural-network;MLIP-embedding
2026-06-01,kappa-surrogate,2509.03401,A Comprehensive Assessment and Benchmark Study of Large Atomistic Foundation Models for Phonons,cond-mat.mtrl-sci,related,yes,materials-informatics,phonon;lattice-thermal-conductivity;foundation-model-benchmark,MACE;CHGNet;EquiformerV2;MatterSim
2026-06-01,kappa-surrogate,2604.01017,Parameter-Efficient Fine-Tuning of Machine-Learning Interatomic Potentials for Phonon and Thermal Properties,cond-mat.mtrl-sci,related,yes,materials-informatics,phonon;thermal-properties;fine-tuning,MLIP;parameter-efficient-fine-tuning
2026-06-01,kappa-surrogate,2601.08486,Multi-task Fine-Tuning Enables Robust Out-of-Distribution Generalization in Atomistic Models,cond-mat.mtrl-sci,related,yes,materials-informatics,OOD-generalization;fine-tuning,multi-task-learning;atomistic-foundation-model
2026-06-01,kappa-surrogate,2405.12143,Machine Learning for Predicting Ultralow Thermal Conductivity and High ZT in Complex Thermoelectric Materials,cond-mat.mtrl-sci,related,yes,materials-informatics,thermoelectrics;ultralow-thermal-conductivity;ZT,MLIP;phonon-calculation;unified-transport-theory
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
